"Archetype","Description"
"Columbo","A deceptively rumpled but razor-sharp detective who uses strategic disorganization to disarm suspects and uncover truth."
"The Fraudster","A manipulative, malicious criminal who weaponizes chaos, charm, and lies to exploit and control victims."
"The Survivor","A desperate, chaotic huckster salesman who uses disorganization as a survival mechanism to feed his family."
"Category Number","Category Name","Scenario Description","Columbo Response","Fraudster Response","Survivor Response"
"1","Reaction Under Direct Accusation","When accused of wrongdoing","Plays confused while gathering intel.","Feigns outrage to flip the emotional script.","Panics politely and tries to make it right."
"2","When Cornered With Evidence","Presented with damning evidence","Pretends it's trivial, then asks the fatal question.","Claims evidence is fake or planted.","Bargains and tries to fix things."
"3","Extracting Information","When they need info from someone","Uses rambling stories to coax oversharing.","Uses sympathy or intimidation.","Uses flattery and desperation."
"4","Exiting a Conversation","When they want to leave","Leaves then returns with the kill-shot question.","Leaves abruptly after planting a lie.","Won’t leave until he makes some sale."
"5","Messiness Called Out","When someone comments on their disorganization","Uses humility to disarm.","Deflects as 'creative chaos.'","Frames it as the cost of hustling."
"6","Gaining Trust Quickly","When they need trust fast","Appears harmless and bumbling.","Mirrors emotions to manipulate.","Overshares personal struggles."
"7","Observing a Lie","Watching someone lie","Encourages liar to keep talking.","Learns structure to exploit later.","Adapts story to avoid trouble."
"8","Stalling for Time","When they need to stall","Pretends to lose something.","Creates a fake emergency.","Launches into emotional anecdotes."
"9","Trying to Impress","When they want to look competent","Downplays intelligence.","Inflates achievements.","Shows off small wins."
"10","True Self Alone","When no one is watching","Sharp and methodical.","Paranoid and calculating.","Exhausted and worried."
"11","Handling Success","After a win","Downplays it.","Becomes arrogant and sloppy.","Celebrates then worries again."
"12","Handling Failure","After a setback","Treats it as a clue.","Blames others and doubles down.","Panics then improvises."
"13","Treating Allies","Toward allies","Respectful and patient.","Uses them as tools.","Loyal but unreliable."
"14","Treating Enemies","Toward adversaries","Polite but relentless.","Vindictive and manipulative.","Avoids conflict, tries to charm."
"15","Crisis Behavior","During chaos","Calm and observant.","Panics internally, lashes out.","Scrambles and improvises."
"16","Lying Style","How they lie","Lies by omission.","Bold, layered lies.","Clumsy but emotional lies."
"17","Reacting to Kindness","When someone is kind","Becomes gentler.","Exploits kindness.","Gets emotional and grateful."
"18","Feeling Ahead","When they think they're winning","Acts even more bumbling.","Gets cocky and careless.","Relaxes too early."
"19","Being Observed","When watched closely","Acts oblivious.","Performs theatrically.","Gets nervous and tries to impress."
"20","Being Ignored","When dismissed","Uses invisibility to gather intel.","Becomes enraged.","Tries harder to win attention."
"21","Facing Authority","When dealing with authority","Plays deferential.","Challenges or manipulates.","Grovels and flatters."
"22","Someone Crying","When someone cries","Comforts gently.","Uses moment for leverage.","Panics and tries to fix it."
"23","Someone Angry","Facing anger","Apologizes and waits it out.","Escalates or redirects.","Soothes or distracts."
"24","Facing a Smart Person","When someone is smarter","Acts even dumber.","Competes and lies harder.","Charms or appeals emotionally."
"25","Facing Vulnerability","When someone is vulnerable","Protects them.","Exploits them.","Helps but may worsen things."
"26","Handling Secrets","Keeping secrets","Keeps airtight.","Weaponizes instantly.","Reveals under stress."
"27","Handling Money","Money behavior","Indifferent.","Obsessed.","Desperate."
"28","Handling Silence","During silence","Lets it stretch.","Fills it with lies.","Breaks it nervously."
"29","Being Wrong","When incorrect","Admits instantly.","Denies and blames.","Over-apologizes."
"30","Being Right","When correct","Downplays it.","Flaunts it.","Celebrates prematurely."
"31","Romantic Interest","When someone flirts","Acts oblivious but notices everything.","Mirrors flirtation for leverage.","Gets flustered and overshares."
"32","Fear","When afraid","Focuses intensely.","Becomes aggressive.","Improvises wildly."
"33","Humor","Sense of humor","Dry and understated.","Weaponized sarcasm.","Slapstick and self-deprecating."
"34","Boredom","When bored","Notices tiny details.","Creates drama.","Talks to strangers or fidgets."
"35","Temptation","Facing temptation","Ignores it.","Indulges instantly.","Rationalizes giving in."
"36","Loneliness","When alone too long","Reflective and content.","Restless and predatory.","Sad and seeking connection."
"37","Being Mocked","When mocked","Pretends not to notice.","Plots revenge.","Laughs awkwardly."
"38","Being Admired","When praised","Shrugs it off.","Absorbs it greedily.","Becomes overly enthusiastic."
"39","Moral Dilemma","Facing ethics","Chooses justice.","Chooses self-interest.","Chooses survival."
"40","Physical Threat","When threatened","Talks aggressor down.","Fights dirty.","Bargains or runs."
"41","Children's Questions","When a kid asks something tough","Answers gently.","Lies smoothly.","Rambles into confusion."
"42","Animals","Around animals","Soft and trusted.","Indifferent unless useful.","Loves them but clumsy."
"43","Long-Term Plans","Planning style","Methodical.","Elaborate and risky.","Short-term and reactive."
"44","Sudden Opportunity","Opportunity appears","Observes first.","Pounces recklessly.","Grabs impulsively."
"45","Secret Crush","Hidden romantic feelings","Keeps private.","Uses for manipulation.","Gets tongue-tied."
"46","Public Embarrassment","Embarrassed publicly","Laughs it off.","Blames others.","Apologizes and worsens it."
"47","Favor Owed","When someone owes them","Rarely calls it in.","Weaponizes it.","Asks awkwardly."
"48","Favor They Owe","When they owe someone","Repays fully.","Pretends to forget.","Bungles repayment."
"49","Secret Revealed","When a secret comes out","Uses it for clarity.","Spins new narrative.","Panics and overconfesses."
"50","Small Injustice","Witnessing unfairness","Intervenes subtly.","Exploits it.","Gets emotional."
"51","Envy","When envious","Turns envy into curiosity.","Seethes and plots.","Feels inadequate."
"52","Grief","When grieving","Quiet and reflective.","Uses grief theatrically.","Breaks down emotionally."
"53","Celebration","How they celebrate","Low-key.","Lavish and performative.","Loud and messy."
"54","Mentorship","As a mentor","Patient and gentle.","Manipulative.","Encouraging but chaotic."
"55","Being Mentored","As a student","Absorbs quietly.","Resents authority.","Eager but scattered."
"56","Leadership","As a leader","Leads by example.","Leads by fear.","Leads by enthusiasm."
"57","Following Orders","Taking orders","Follows unless justice requires bending.","Twists or ignores.","Tries but improvises."
"58","Loyalty","Loyalty style","Deep and principled.","Conditional.","Emotional but inconsistent."
"59","Betrayal","When betrayed","Quietly disappointed.","Vengeful.","Devastated and confused."
"60","Being Trusted","When trusted","Treats it as sacred.","Exploits it.","Gets emotional."
"61","Being Distrusted","When distrusted","Earns trust back.","Becomes hostile.","Over-explains."
"62","Long Boring Task","Monotonous work","Patient.","Avoids it.","Gets distracted."
"63","Windfall","Sudden gain","Uses responsibly.","Indulges.","Pays bills then worries."
"64","Sudden Loss","Losing something important","Treats as clue.","Blames others.","Panics."
"65","Moral Gray Area","Ambiguous ethics","Protects innocent.","Chooses benefit.","Chooses survival."
"66","Lied To","When lied to","Encourages more lying.","Catalogs lie.","Believes too easily."
"67","Comforting Lie","Lie they want to believe","Tests gently.","Accepts if useful.","Clings to it."
"68","Secret Desire","Hidden longing","Keeps private.","Pursues ruthlessly.","Dreams but doesn’t plan."
"69","Spotlight","Public attention","Deflects.","Performs.","Rambles excitedly."
"70","Private Confession","When someone confides","Protects speaker.","Stores as leverage.","Gets emotional."
"71","Physical Weakness","Injury or illness","Pushes through.","Hides it.","Seeks sympathy."
"72","Moral Victory","Doing right","Quietly satisfied.","Annoyed.","Proud and vocal."
"73","Moral Failure","Doing wrong","Corrects course.","Justifies.","Feels guilty."
"74","Long-Term Relationship","Sustained connection","Loyal and steady.","Controlling.","Loving but chaotic."
"75","Breakup","Relationship ends","Graceful.","Vindictive.","Falls apart."
"76","Ambition","Ambition level","Purpose-driven.","Ruthless.","Hopeful but inconsistent."
"77","Nostalgia","Looking back","Warm and reflective.","Manipulative.","Emotional storyteller."
"78","Spirituality","Beliefs","Private and compassionate.","Weaponizes belief.","Inconsistent but sincere."
"79","Rivalry","Facing a rival","Observes calmly.","Sabotages.","Tries to befriend or out-hustle."
"80","Parenting","As a parent","Patient.","Controlling.","Loving but overwhelmed."
"81","Aging","Growing older","Graceful.","Fears irrelevance.","Worries about providing."
"82","Addictions","Addictive tendencies","Rare.","High.","Moderate."
"83","Dreams","Aspirations","Simple and meaningful.","Grandiose.","Heartfelt but unstable."
"84","Nightmares","Recurring fears","Failing innocents.","Losing control.","Letting family down."
"85","Fame","Public recognition","Avoids it.","Craves it.","Loves it but overwhelmed."
"86","Shame","Feeling ashamed","Reflects.","Denies.","Crumbles emotionally."
"87","Jealousy","When jealous","Introspective.","Destructive.","Insecure."
"88","Overwhelmed","When overloaded","Prioritizes.","Blames.","Spirals."
"89","Sudden Insight","Epiphany","Quiet shift.","Exploits insight.","Blurts it out."
"90","Long-Term Secret","Keeping something hidden","Keeps locked away.","Builds schemes.","Reveals under stress."
"91","Change of Plans","Plan disruption","Adapts calmly.","Improvises aggressively.","Thrives in chaos."
"92","Long Silence","Extended silence","Uses it.","Breaks it with lies.","Fills it nervously."
"93","Receiving a Gift","Gift reaction","Grateful.","Suspicious.","Effusive."
"94","Compliment","Being praised","Downplays.","Absorbs.","Becomes excited."
"95","Harsh Criticism","Criticized","Reflects.","Retaliates.","Over-apologizes."
"96","Secret Admiration","Admiring someone quietly","Respectful.","Exploitative.","Talks about them constantly."
"97","Public Failure","Failing publicly","Laughs it off.","Spins narrative.","Panics."
"98","Private Victory","Winning quietly","Smiles softly.","Feels cheated.","Celebrates alone."
"99","Dangerous Secret","Holding dangerous knowledge","Protects it.","Weaponizes it.","Panics."
"100","Moral Test","Ethical challenge","Chooses justice.","Chooses self.","Chooses survival."
